plot_id,lat,long,soil_C,a_ly_tk,ab_ly_tk,b_ly_tk,soil_Depth,生物量总量,abv_C,tree_H,Diam_C,comm,elv,dominant,slope_drg,slp_dir,slp_pos,mem
XXALYF080726001,47.36000000000,128.19300000000,11 ,15 ,30 ,20 ,65 ,5605.00294295000,2.80250147148,12.62916660060,13.92083337410,兴安落叶松人工林,305.00000000000,兴安落叶松,10,165,中
XXALYF080726002,47.37433300000,128.18315000000,11 ,18 ,0 ,20 ,38 ,2800.45561145000,1.40022780573,13.99999990460,20.40999965670,红松-枫桦林,307.00000000000,红松,50,东
XXALYF080726004,47.36063800000,128.19370800000,7 ,10 ,0 ,35 ,45 ,4049.14056848000,2.02457028424,12.03225811070,15.08709687570,白桦林,324.00000000000,白桦,1.90915239,0,,天然次生林，有旅游。
XXALYF080727003,46.69392800000,128.87859200000,7 ,15 ,0 ,23 ,38 ,5678.97754792000,2.83948877396,16.24736842040,18.53157886860,兴安落叶松人工林,257.00000000000,兴安落叶松,14.244157791,66.80140686
XXALYF080727005,46.69300000000,128.87000000000,20 ,33 ,0 ,16 ,49 ,1927.52974050000,0.96376487025,8.54545454545,9.28787878788,兴安落叶松朝鲜柳人天混,535.00000000000,兴安落叶松,10,东南
XXALYF080728007,46.89034500000,128.42765000000,8 ,18 ,0 ,18 ,36 ,4657.84479296000,2.32892239648,9.13461538462,11.17948717950,红松阔叶林,358.00000000000,红松,13,245,中下
XXALYF080728009,46.89497700000,128.41521800000,6 ,19 ,27 ,28 ,74 ,4905.88365818000,2.45294182909,13.36059114150,8.76729063271,兴安落叶松人工林,343.00000000000,兴安落叶松,3.8436682224,240.25511169
XXALYF080728010,46.91830500000,128.43719200000,15 ,19 ,17 ,17 ,53 ,11662.75983290000,5.83137991645,14.62187492850,19.18437515700,红松人工林,326.00000000000,红松,10,西北,中
XXALYF080729011,47.18094000000,128.89534300000,17 ,34 ,0 ,23 ,57 ,19795.09158850000,9.89754579425,15.02714285510,17.34714287690,鱼鳞云杉红松林,405.00000000000,红松,23,167,中下
XXALYF080729012,47.18000000000,128.89500000000,9 ,20 ,0 ,20 ,40 ,20865.59181750000,10.43279590875,16.04146328210,25.62926846020,红松林,380.00000000000,红松,18,东北偏东70
XXALYF080729013,47.18432300000,128.88769700000,10 ,23 ,0 ,27 ,50 ,6414.10595779000,3.20705297890,13.44267240680,10.41982761430,白桦林,388.00000000000,白桦,4,320,下
XXALYF080729014,47.18902200000,128.44149800000,8 ,13 ,17 ,15 ,45 ,14624.53226540000,7.31226613270,18.86969697110,20.14999993640,兴安落叶松天然林,342.00000000000,兴安落叶松,0
XXALYF080730015,47.18590800000,128.87377800000,10 ,23 ,0 ,22 ,45 ,9596.96904461000,4.79848452231,11.23534477780,9.61034480148,云冷杉林,324.00000000000,云冷杉,6.37937021,63.434948
XXALYF080730016,47.13791500000,128.91558800000,6 ,22 ,0 ,25 ,47 ,15637.51078980000,7.81875539490,11.28834946870,15.79514556260,杨桦林,325.00000000000,白桦,3,245,下
XXALYF080730021,47.18338300000,128.37836800000,6 ,10 ,25 ,25 ,60 ,2185.46532601000,1.09273266301,9.61829268642,8.12857142942,云冷杉林-云冷杉红松林,362.00000000000,云冷杉,12,西南
XXALYF080801017,46.91666000000,129.09524000000,7 ,15 ,0 ,28 ,43 ,3861.50644868000,1.93075322434,7.18599999249,6.52199999094,云杉白桦林,360.00000000000,云冷杉,4.26269293,63.43494797
XXALYF080801018,46.89733000000,129.07769800000,6 ,10 ,20 ,20 ,50 ,4751.81186087000,2.37590593044,10.10210521100,9.56315787968,白桦杂木林,412.00000000000,白桦,1.39176345,329.03625488,中下
XXALYF080801019,46.93249700000,129.11794800000,8 ,18 ,0 ,18 ,36 ,5937.00063173000,2.96850031587,16.18863640180,12.78977273540,兴安落叶松混林,370.00000000000,兴安落叶松,12.40776348,155.37643433
XXALYF080802020,47.23339400000,127.11728100000,11 ,17 ,0 ,23 ,40 ,8438.97442806000,4.21948721403,14.34042553190,20.67021277610,兴安落叶松人工林,408.00000000000,兴安落叶松,3,165,下
XXALYF080802021,47.23222700000,128.74291700000,15 ,25 ,0 ,25 ,50 ,16050.35834540000,8.02517917270,18.17499995230,23.28124992050,红松天然林,414.00000000000,红松,3,214度,下
XXALYF080802022,47.48945700000,128.78022300000,12 ,15 ,40 ,0 ,55 ,4849.01952436000,2.42450976218,10.31562501190,13.71093759690,云冷杉 红松 白桦林,317.00000000000,云冷杉,5,南,中
XXALYF080802024,47.20205300000,128.49166700000,15 ,33 ,0 ,35 ,68 ,5496.41838124000,2.74820919062,7.94117647460,6.82521008844,白桦林,336.00000000000,白桦,15,325,中下
XXALYF080803025,46.76530000000,129.08716000000,10 ,20 ,0 ,10 ,30 ,3.91443259225,0.00195721630,2.79999995232,2.39999997616,开阔地造林,348.00000000000,红松,2.45639467,330.94540405
XXALYF080803027,46.81099800000,129.03701700000,10 ,16 ,0 ,60 ,76 ,2836.49757407000,1.41824878704,9.85979902804,7.06080401603,兴安落叶松人工林,494.00000000000,兴安落叶松,10,10
XXALYF080803028,46.83520000000,129.13491000000,16 ,25 ,0 ,20 ,45 ,5986.76957276000,2.99338478638,12.42421053840,10.30105266070,杨桦林,509.00000000000,白桦,15,10,下
XXALYF080804033,47.12219300000,129.41947700000,14 ,28 ,0 ,9 ,37 ,1210.88506545000,0.60544253273,8.67968750000,8.01562500000,杂木林,165.00000000000,其他,2.90182161,170.53767395,下
